高清直播,#genre#
CCTV-4中文国际,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226335/1.m3u8
CCTV-4中文国际,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226899/index.m3u8
CCTV-5体育,http://39.135.138.6:6610/PLTV/88888888/224/3221225633/2/1000.m3u8
CCTV-5体育,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5体育,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226469/1.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+体育赛事,http://39.135.138.6:6610/PLTV/88888888/224/3221225649/2/1000.m3u8
CCTV-5+体育赛事,http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+体育赛事,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226225/1.m3u8
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225689/index.m3u8
CCTV-6电影,http://39.135.138.6:6610/PLTV/88888888/224/3221225632/2/1000.m3u8
CCTV-6电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6电影,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226468/1.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7国防军事,http://39.135.138.6:6610/PLTV/88888888/224/3221225499/2/1000.m3u8
CCTV-7国防军事,http://39.135.138.59:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7国防军事,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226234/1.m3u8
CCTV-7国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8电视剧,http://39.135.138.6:6610/PLTV/88888888/224/3221225631/2/1000.m3u8
CCTV-8电视剧,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV-8电视剧,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226485/1.m3u8
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9纪录,http://39.135.138.6:6610/PLTV/88888888/224/3221225626/2/1000.m3u8
CCTV-9纪录,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9纪录,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226236/1.m3u8
CCTV-9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10科教,http://39.135.138.6:6610/PLTV/88888888/224/3221225496/2/1000.m3u8
CCTV-10科教,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV-10科教,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226227/1.m3u8
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11戏曲,http://39.135.138.6:6610/PLTV/88888888/224/3221225628/2/1000.m3u8
CCTV-11戏曲,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV-11戏曲,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226334/1.m3u8
CCTV-11戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12社会与法,http://39.135.138.6:6610/PLTV/88888888/224/3221225495/2/1000.m3u8
CCTV-12社会与法,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV-12社会与法,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226228/1.m3u8
CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13新闻,http://39.135.138.6:6610/PLTV/88888888/224/3221225638/2/1000.m3u8
CCTV-13新闻,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13新闻,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226316/1.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14少儿,http://39.135.138.6:6610/PLTV/88888888/224/3221225494/2/1000.m3u8
CCTV-14少儿,http://39.135.138.59:18890/PLTV/88888910/224/3221225639/index.m3u8
CCTV-14少儿,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226229/1.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15音乐,http://39.135.138.6:6610/PLTV/88888888/224/3221225641/2/1000.m3u8
CCTV-15音乐,http://39.135.138.59:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV-15音乐,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226333/1.m3u8
CCTV-15音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-17农业农村,http://39.135.138.6:6610/PLTV/88888888/224/3221225907/2/1000.m3u8
CCTV-17农业农村,http://39.135.138.59:18890/PLTV/88888910/224/3221225907/index.m3u8
CCTV-17农业农村,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226318/1.m3u8
CCTV-17农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
北京卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225673/2/1000.m3u8
北京卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225673/index.m3u8
北京卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226224/1.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
湖南卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225490/2/1000.m3u8
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225704/index.m3u8
湖南卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226509/1.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
浙江卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225491/2/1000.m3u8
浙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225703/index.m3u8
浙江卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226247/1.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
东方卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225489/2/1000.m3u8
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225658/index.m3u8
东方卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226237/1.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
江苏卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225488/2/1000.m3u8
江苏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225702/index.m3u8
江苏卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226242/1.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
安徽卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225691/2/1000.m3u8
安徽卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226223/1.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225727/index.m3u8
天津卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225485/2/1000.m3u8
天津卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225698/index.m3u8
天津卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226246/1.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225648/index.m3u8
辽宁卫视,http://39.135.138.6:6610/PLTV/88888888/224/3221225601/2/1000.m3u8
辽宁卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225696/index.m3u8
辽宁卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226500/1.m3u8
辽宁卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226731/index.m3u8
辽宁都市,http://39.134.52.153/huaweicdn.ln.chinaUnicom.com/PLTV/88888888/224/3221226524/1.m3u8
辽宁都市,http://39.134.52.153/huaweicdn.ln.chinaUnicom.com/PLTV/88888888/224/3221226524/1.m3u8
辽宁都市,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226760/index.m3u8
辽宁影视剧,http://39.134.52.153/huaweicdn.ln.chinaUnicom.com/PLTV/88888888/224/3221226512/1.m3u8
辽宁影视剧,http://39.134.52.153/huaweicdn.ln.chinaUnicom.com/PLTV/88888888/224/3221226512/1.m3u8
辽宁影视剧,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226738/index.m3u8
辽宁教育青少,http://39.134.52.153/huaweicdn.ln.chinaUnicom.com/PLTV/88888888/224/3221226473/1.m3u8
辽宁教育青少,http://39.134.52.153/huaweicdn.ln.chinaUnicom.com/PLTV/88888888/224/3221226473/1.m3u8
辽宁教育青少,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226763/index.m3u8
辽宁生活,http://39.134.52.153/huaweicdn.ln.chinaUnicom.com/PLTV/88888888/224/3221226489/1.m3u8
辽宁生活,http://39.134.52.153/huaweicdn.ln.chinaUnicom.com/PLTV/88888888/224/3221226489/1.m3u8
辽宁生活,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226761/index.m3u8
辽宁体育,http://39.134.52.153/huaweicdn.ln.chinaUnicom.com/PLTV/88888888/224/3221226508/1.m3u8
辽宁体育,http://39.134.52.153/huaweicdn.ln.chinaUnicom.com/PLTV/88888888/224/3221226508/1.m3u8
辽宁体育,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226764/index.m3u8
辽宁北方,http://39.134.52.153/huaweicdn.ln.chinaUnicom.com/PLTV/88888888/224/3221226515/1.m3u8
辽宁北方,http://39.134.52.153/huaweicdn.ln.chinaUnicom.com/PLTV/88888888/224/3221226515/1.m3u8
